,title,id,downloads,episodes_per_week
0,The Bronx Pinstripes Show - Yankees MLB Podcast,e1cde930-4b87-43a8-8ffe-220f51ecfdcb,1349939,1.5
1,Rotoviz Radio,59e5788d-ef6c-4ecf-ad6e-c90dd60e0237,1205899,8.25
2,Laker Film Room - Dedicated to the Study of Lakers Basketball,d9f9dd05-52af-498c-88f7-5331d9cc69ac,1167377,3.25
3,Always Cheating: A Fantasy Premier League Podcast (FPL),0e3a8b22-7bb0-426e-ae91-9927274b0da2,852933,1.5
4,Insight with Chris Van Vliet,a6c2fb18-b21a-4b4b-b03f-63d4be8309c3,825028,2.75
5,Dropping the Gloves,15d13272-a9ca-4059-bfa7-7579f27a22b8,777925,3.0
6,London Is Blue - Chelsea FC Soccer Podcast,a5199b81-00cd-4992-9409-f7dea9bb2209,762577,3.0
7,Pack-A-Day: Your Daily Packers Podcast,49112a7c-4734-46b6-8b6d-dc75390d9e5f,673033,7.75
8,Purple Insider - a Minnesota Vikings and NFL podcast,8aa5ef4f-0ccb-4146-b3b4-21fff5e06450,636911,7.0
9,The Fantasy Points Podcast,e4e8ba09-6def-4ec9-8702-b9ad6125f504,503713,1.5
10,Light Years: A Golden State Warriors Pod,68cb72dd-f267-47ba-ae1c-a5931a5bb780,407808,3.75
11,Vegas Nation - Raiders Football,4e8b8fa7-0eef-4a5a-8663-f7d580eae313,374710,3.25
12,Striking Gold: A 49ers Pod,142b8ba1-fb2e-4e89-87e5-d2283d356824,360285,1.5
13,Washed Up Walkons,4a823cde-883d-4ba2-80c8-9c6bc461f0a7,318747,2.25
14,The Miami Heat Beat Podcast,04e48205-c16a-4204-82cc-27d568f90a3a,283583,6.75
15,The Compound - MLB Player Podcast,8e71b37d-b7fc-4dfc-b4b3-f4a48489894c,281828,1.0
16,Candlestick Chronicles: A 49ers Pod,e2528765-60f1-479f-a9fb-17995ad9ba8c,275652,1.5
17,Big Blue Banter: A New York Giants Football Podcast,7b09dead-82e6-4643-960d-03e5e820a856,262046,2.25
18,The Hockey PDOcast,4dd8427e-5fe2-4662-9f90-3317e05811be,258395,1.5
19,Veteran's Minimum,3d054b21-26f9-44c0-9531-d164c69791ae,244313,3.0
20,The Barcelona Podcast,d7694a44-5ddc-48df-b78d-631cc6301da1,243304,1.5
21,American Prodigy: Freddy Adu,a0f07f5d-9c46-4815-ae9e-9977e0a6c654,236436,0.25
22,The Dane Moore NBA Podcast,693d4917-6863-4312-8782-36d9573665c7,176744,5.75
23,Burn It All Down,c66dbabd-883c-4ede-aac7-02f446b6bd45,172257,2.25
24,Better Rivals: A San Francisco 49ers Podcast,091d276c-2676-4a45-b73b-09a5023d4d12,171446,0.75
25,Touchline Fracas: A Premier League Football Podcast ( Arsenal Chelsea Liverpool Spurs Manchester United ),88b3aada-c54c-46b4-81d7-7d30e4d260a0,167411,6.5
26,Hardwood Knocks: An NBA Podcast,b7b22356-216e-4a76-b461-85e551a1dae3,161402,1.75
27,Destination Devy Podcast,54fa0cbe-8742-4c31-88d2-88494022a9dd,156799,2.25
28,OBR Film Breakdown,af9ad6b9-7804-4a03-a389-bfca2aeb9f3d,141657,1.25
29,Raider Cody Podcast - Las Vegas Raiders Fan Show,443dd7fd-01bb-44aa-b421-74c61020c522,141188,0.5
30,Preediction,9abdb278-d2ff-4e82-b3fc-308d7736c8b1,139563,5.25
31,49ers Rush Podcast with John Chapman,3df60e3d-f16a-405b-bf83-56763b4d9449,131746,0.0
32,The Chase Down: A Cleveland Cavaliers Pod,77a81860-0123-43ba-ade8-92f760fea19d,130526,2.5
33,Cubs Related: A Chicago Cubs Podcast,649a9132-4298-4d65-b650-8360b693520e,123519,1.0
34,Cash Considerations: A Chicago Bulls Pod,5f3e2fd5-ab14-49ec-9952-cd19945d9ad5,117792,1.25
35,Irish Breakdown,ee86d294-2c95-49f3-9f63-6c353ce79b94,111892,7.25
36,The Uncontested OKC Thunder Podcast,74d8724c-294d-497b-b099-1f97e582fe80,111829,4.5
37,RotoViz Fantasy Football Show,c684d2f6-72da-41ff-acb5-d0547481c4bf,111622,1.25
38,Air Buds,3ea84ca0-942e-4948-97f2-34e2c091f20d,100007,2.0
39,The Pride Podcast: A Detroit Lions Podcast,b0caa05e-74c2-49ba-a4cf-a276c78978ef,98750,1.5
40,The Michael Rothstein Show Live at Regents Field,1ca15609-62bd-4fbe-8c6e-c1215a75ed3f,96046,0.0
41,The Timeline: A Phoenix Suns Podcast,a9d2fff7-eb1f-48f5-a5c1-6633b4f3e600,93624,1.25
42,George's Box - Yankees MLB Podcast,b3e05007-b15d-4506-b41f-fdb11f508332,85948,0.25
43,THE CODCAST,eb09a209-c4eb-4d88-948b-bbeaea5535df,84961,0.0
44,RotoViz Overtime,a25e6bf5-6037-47b6-a998-cf3e0698cacd,83022,2.0
45,That's Good Sports Podcast,aa9e5f94-e074-426b-8e44-f62fadc85d7b,76663,0.0
46,Kings Pulse: A Sacramento Kings Podcast,b9cfabe8-2d02-4903-96b4-88b0e044034e,75815,2.0
47,Orange and Brown Report,c274f12f-3c60-4d02-8099-81f314a3e659,74018,1.25
48,Dynasty Tradecast,cc878ebd-e36f-4ece-ab7e-890d53f1df36,74004,1.0
49,10ish Podcast,93cc0b3a-49ea-455f-affd-ac01fdafd761,73383,1.0
50,The Corner Podcast,cf70b8fa-5b07-472a-86c8-84e93ef8762a,71209,1.5
51,The Rebuild: A Cleveland Browns Pod,c30476f2-ba22-4739-8ffe-1788fe50040c,70735,2.25
52,Brooklyn Buzz: A Brooklyn Nets Podcast,f7559668-17a6-482e-bdbc-b14806bfff43,67316,4.25
53,In The N.O. - A New Orleans Pelicans Pod,12dcd31b-4579-4dcb-af11-75f0e4c4b346,65117,1.0
54,Golden Edge - Vegas Golden Knights Hockey,e90aa230-c939-4cd1-ad3b-a208ec739e34,63633,1.0
